Building,Room,Date/Time
Lauritzen,D301,4/25/19 11:03 AM
Lauritzen,D303,4/25/19 11:03 AM
Baker,S202,4/25/19 11:04 AM
Lauritzen,D110,4/25/19 11:04 AM
Lauritzen,D106,4/25/19 11:05 AM
Wendell,B428,4/25/19 11:08 AM
Wendell,B420,4/25/19 11:08 AM
Wendell,C217,4/25/19 11:15 AM
Lauritzen,D109,4/25/19 11:18 AM
Lauritzen,D209,4/25/19 11:19 AM
1981,F019,4/25/19 11:19 AM
Baker,E223,4/25/19 11:19 AM
1981,F307,4/25/19 11:20 AM
1981,F114,4/25/19 11:20 AM
1981,F015,4/25/19 11:21 AM
Baker,S106,4/25/19 11:24 AM
1981,F007,4/25/19 11:26 AM
Hargadon,G402,4/25/19 11:26 AM
Baker,S102,4/25/19 11:39 AM
1981,F024,4/25/19 11:41 AM
Baker,S003,4/25/19 11:45 AM
1981,F016,4/25/19 11:47 AM
Wendell,B218,4/25/19 11:51 AM
Hargadon,G101A,4/25/19 11:54 AM
Wendell,B309,4/25/19 11:56 AM
Murley-Pivirotto,T302,4/25/19 12:00 PM
Baker,S302,4/25/19 12:00 PM
Wendell,B415,4/25/19 12:12 PM
Lauritzen,D307,4/25/19 12:21 PM
Wendell,B411,4/25/19 12:31 PM
Lauritzen,D105,4/25/19 12:32 PM
Lauritzen,D305,4/25/19 12:40 PM
Wendell,B314,4/25/19 12:43 PM
Baker,S402,4/25/19 12:46 PM
Wendell,B315,4/25/19 12:48 PM
Lauritzen,D112,4/25/19 1:02 PM
Lauritzen,D020,4/25/19 1:20 PM
1981,F105,4/25/19 1:32 PM
1981,F116,4/25/19 2:43 PM
Wendell,B320,4/25/19 2:53 PM
1981,F018,4/25/19 3:03 PM
1981,F103,4/25/19 3:08 PM
Wendell,C204,4/25/19 10:28 PM
Lockhart,401,4/26/19 12:00 AM
Lockhart,402,4/26/19 12:00 AM
Patton,T12,4/26/19 10:04 AM
Patton,313,4/26/19 10:07 AM
Brown,210,4/26/19 10:08 AM
Dod,403,4/26/19 10:10 AM
1903,421,4/26/19 10:10 AM
Scully,405,4/26/19 10:12 AM
Patton,T05,4/26/19 10:16 AM
Scully,331,4/26/19 10:18 AM
Scully,333,4/26/19 10:19 AM
Dod,401S,4/26/19 10:26 AM
Brown,329,4/26/19 10:33 AM
Dod,413,4/26/19 10:37 AM
Patton,408,4/26/19 10:45 AM
Scully,217,4/26/19 10:48 AM
Scully,215,4/26/19 10:49 AM
Scully,254,4/26/19 10:59 AM
Scully,252,4/26/19 10:59 AM
Wright,306,4/26/19 11:03 AM
Scully,270,4/26/19 11:13 AM
Pyne,223,4/26/19 11:14 AM
Pyne,224,4/26/19 11:14 AM
Pyne,221,4/26/19 11:14 AM
1903,523A,4/26/19 11:15 AM
1903,527,4/26/19 11:17 AM
1903,522,4/26/19 11:17 AM
1903,528,4/26/19 11:17 AM
1903,216,4/26/19 11:17 AM
1903,532,4/26/19 11:17 AM
Foulke,321,4/26/19 11:18 AM
Foulke,313,4/26/19 11:19 AM
Little,124,4/26/19 11:37 AM
Lockhart,111,4/26/19 11:42 AM
Foulke,318,4/26/19 11:47 AM
Foulke,317,4/26/19 11:48 AM
1903,517,4/26/19 12:09 PM
1903,323,4/26/19 12:09 PM
1903,414,4/26/19 12:09 PM
Foulke,305,4/26/19 12:12 PM
Pyne,421,4/26/19 12:13 PM
Dod,200S,4/26/19 12:14 PM
Cuyler,633,4/26/19 12:16 PM
Brown,220,4/26/19 12:19 PM
Scully,255,4/26/19 12:23 PM
Scully,261,4/26/19 12:23 PM
Patton,075,4/26/19 12:27 PM
Dod,310,4/26/19 12:28 PM
Patton,076,4/26/19 12:31 PM
Patton,307,4/26/19 12:38 PM
Pyne,332,4/26/19 12:38 PM
Dod,411,4/26/19 12:46 PM
1903,243,4/26/19 12:47 PM
Pyne,511,4/26/19 12:49 PM
Henry,125,4/26/19 12:52 PM
Lockhart,103,4/26/19 12:53 PM
Lockhart,101,4/26/19 12:53 PM
Foulke,316,4/26/19 12:53 PM
Pyne,211,4/26/19 1:00 PM
Pyne,241,4/26/19 1:07 PM
Pyne,321,4/26/19 1:07 PM
1903,431,4/26/19 1:11 PM
Pyne,322,4/26/19 1:12 PM
Dod,214,4/26/19 1:12 PM
1903,231,4/26/19 1:15 PM
1903,237,4/26/19 1:15 PM
Dod,217,4/26/19 1:17 PM
1903,531,4/26/19 1:20 PM
Scully,240,4/26/19 1:20 PM
Henry,213,4/26/19 1:23 PM
Henry,214,4/26/19 1:24 PM
Henry,313,4/26/19 1:24 PM
Henry,215,4/26/19 1:24 PM
Pyne,633,4/26/19 1:26 PM
Scully,202,4/26/19 1:29 PM
Scully,201,4/26/19 1:29 PM
Dod,206,4/26/19 1:29 PM
Henry,216,4/26/19 1:32 PM
1901,115,4/26/19 1:40 PM
Scully,407,4/26/19 1:47 PM
Patton,T08,4/26/19 1:51 PM
Scully,301,4/26/19 1:53 PM
Scully,354,4/26/19 1:53 PM
Scully,352,4/26/19 1:53 PM
Scully,332,4/26/19 2:00 PM
Scully,334,4/26/19 2:00 PM
Dod,401,4/26/19 2:05 PM
Scully,158,4/26/19 2:05 PM
Scully,156,4/26/19 2:05 PM
Cuyler,521,4/26/19 2:12 PM
Henry,225,4/26/19 2:17 PM
Wright,301,4/26/19 2:23 PM
Foulke,334,4/26/19 2:35 PM
Foulke,335,4/26/19 2:39 PM
1903,241,4/26/19 2:42 PM
Brown,119,4/26/19 2:42 PM
1903,242,4/26/19 2:44 PM
Laughlin,627,4/26/19 2:48 PM
Brown,410,4/26/19 2:48 PM
Pyne,344,4/26/19 2:53 PM
1901,312,4/26/19 2:54 PM
Pyne,621,4/26/19 2:56 PM
Wright,303,4/26/19 2:57 PM
1901,314,4/26/19 2:57 PM
Wright,404,4/26/19 2:57 PM
1901,313,4/26/19 2:57 PM
Foulke,341,4/26/19 3:16 PM
Scully,340,4/26/19 3:17 PM
Pyne,634,4/26/19 3:23 PM
Cuyler,403,4/26/19 3:32 PM
Laughlin,513,4/26/19 3:32 PM
Patton,040,4/26/19 3:37 PM
Henry,233,4/26/19 3:38 PM
Scully,133,4/26/19 3:41 PM
Scully,131,4/26/19 3:41 PM
Cuyler,511,4/26/19 3:47 PM
Brown,429,4/26/19 3:49 PM
1903,514,4/26/19 3:56 PM
Pyne,611,4/26/19 4:02 PM
Scully,121,4/26/19 4:19 PM
Scully,123,4/26/19 4:19 PM
Cuyler,421,4/26/19 4:21 PM
Patton,062,4/26/19 4:24 PM
Foulke,314,4/26/19 4:33 PM
Foulke,315,4/26/19 4:33 PM
Foulke,325,4/26/19 4:34 PM
Dod,400S,4/26/19 4:41 PM
Foulke,333,4/26/19 4:58 PM
Dod,404,4/26/19 4:59 PM
Dod,302S,4/26/19 4:59 PM
Laughlin,523,4/26/19 5:22 PM
1903,526,4/28/19 6:36 PM
1903,524,4/28/19 6:37 PM
1903,516,4/28/19 6:37 PM
1903,422,4/28/19 6:38 PM
Cuyler,439,4/29/19 12:00 AM
Wright,302,4/29/19 10:16 AM
1903,228,4/29/19 10:16 AM
1903,227,4/29/19 10:17 AM
Pyne,623,4/29/19 10:18 AM
Scully,355,4/29/19 10:23 AM
1903,143,4/29/19 10:29 AM
1903,225,4/29/19 10:29 AM
1903,125,4/29/19 10:29 AM
1903,142,4/29/19 10:30 AM
Dod,301S,4/29/19 10:32 AM
Patton,087,4/29/19 10:41 AM
Foulke,202,4/29/19 10:46 AM
1903,511,4/29/19 10:48 AM
Scully,408,4/29/19 10:49 AM
1903,124,4/29/19 10:49 AM
Patton,064,4/29/19 10:49 AM
Patton,074,4/29/19 10:49 AM
1903,313,4/29/19 10:51 AM
Patton,063,4/29/19 10:51 AM
Dod,300,4/29/19 10:52 AM
Henry,229,4/29/19 10:53 AM
Henry,121,4/29/19 10:53 AM
Wright,402,4/29/19 10:55 AM
Patton,089,4/29/19 10:55 AM
Wright,403,4/29/19 10:57 AM
Cuyler,401,4/29/19 10:58 AM
